ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Baron Stallion weapon;"Baron Stallion weapon name differs; stats are the same (20 cm / 3 / 5+ / 0). Summary table (page 10): Laser à Impulsion (Pulse Laser). Unit card (page 37): Rayonneur Laser (Scatter Laser). Bright Stallion uses Scatter Laser in both table and card. These are two different Games Workshop weapons.";Follow table: Pulse Laser.;Follow card: Scatter Laser.;;A
2;Phoenix class;Phoenix class is written two ways. Summary table (page 12) and card (page 40): Superlourd. Army list (page 20): listed under Vehicles with Falcons, Nightwings, and Crimson Hunters, not under Super-heavies with Cobra and Scorpion.;Follow table and card: Super-heavies (keep it under Super-heavies in the army list).;Follow army-list layout: Vehicles.;;A
1A;Dark Reapers weapon;Dark Reapers weapon name differs. Summary table and Exarch (pages 8, 26): Lance-Missiles Faucheur. Card (page 25): Lance Missiles. Same stats.;Games Workshop name: Reaper Launcher.;Keep the card’s generic Lance Missiles.;Exarch already uses Lance-Missiles Faucheur.;A — Reaper Launcher
2A;Falcon Turret;Falcon Tourelle is on the Bright Lance in the summary table (page 9) and on the unit on the card (page 33).;On the Bright Lance (weapon).;On the unit.;"Shot rule; put on the weapon.";A
3A;Firestorm AA;Firestorm AA is on the Laser Battery in the summary table (page 9) and on the unit on the card (page 33).;On the Laser Battery (weapon).;On the unit.;"Shot rule; put on the weapon.";A
4A;Night Spinner abilities;Night Spinner Toile, Artillerie, and Réduit les Couverts (−1) are on Nuées de Toile in the summary table (page 10) and on the unit on the card (page 34). Antigrav is on the unit in both.;Web / Artillery / Reduces Cover (−1) on the Doomweaver.;Those abilities on the unit.;"Shot rules; put on the weapon.";A
5A;Warp Hunter abilities;Warp Hunter Attaque Psychique and Endommage les Bâtiments (PA −3/2) are on the D-Cannon in the summary table (page 10) and on the unit on the card (page 36). Antigrav is on the unit in both.;Psychic Attack and Damages Buildings on the D-Cannon.;Those abilities on the unit.;"Shot rules; put on the weapon.";A
6A;Unicorn card name;Title and table (pages 10, 35): Unicorn. Card ability line: Le Vibro-Canon a les capacités Antigrav et Vibro-Canon (−2).;Unit Unicorn (GW). Antigrav on the unit, Vibro-Cannon (−2) on the weapon.;Rename the unit Vibro-Canon and put both abilities on it.;Lore: Falcon chassis with a Vibro-Cannon.;A
7A;Army list Tank Scorpion;Army list (page 20): Tank Scorpion, contents 1 Scorpion base. Table and card (pages 12, 41): Scorpion.;Scorpion (GW) everywhere, including the army list.;Keep Tank Scorpion as the army-list name.;;A — Scorpion
8A;Vampire name;Table (page 12): Vampire. Card and army contents (pages 20, 42): Transport de Troupes Vampire.;Vampire Raider (GW transport name).;Keep Vampire only, or Troop Transport Vampire.;Army list can still sit under Options.;A — Vampire Raider
9A;Scorpions 3D6;Table and special-ability text (pages 6, 8): 3D6 en Assaut contre les Classes 1 et 2 on the unit. Card (page 29): their weapons let them roll 3D6.;"On the Mandiblaster (weapon); the named ability still describes that gun.";On the unit only.;Doubt between unit and weapon → weapon.;A
10A;Fire Dragons fusion gun;Table, Exarch, and card profile (pages 7, 25, 26): Fusil Thermique. Card lore (page 25): Fusil à Fusion. Same stats.;Fusion Gun (GW).;Keep one French form literally.;;A — Fusion Gun
11A;Hit-location Holo-Field;Rest of book: Holo-Champ. Sheet (page 15): Holochamp / lholochamp / désactiver.;Holo-Field (GW) and correct English (disabled, not the infinitive).;Keep the sheet spellings.;;A
12A;Psychic Node Spirit Stone;Psychic Node (page 6): Pierre-Esprits. Everywhere else: Pierre-Esprit.;Spirit Stone (GW) / Pierre-Esprit.;Pierre-Esprits in that sentence only.;;A — Spirit Stone
13A;Nightwing twin shuriken;Table (page 10): Catapulte Shuriken Jum. Card (page 35): Catapulte Shuriken Jumelés. Same stats (30 cm / 2 / 4+ / 0).;"Twin Shuriken Catapult (grammar; matches Jumelé).";Twin Shuriken Catapults (Jumelés).;French is Catapulte, not Canon.;A
14A;Pulsar Diffuse on cards;"Table (page 12): Scorpion and Revenant have Tir Concentré and Tir Diffus. Cards (pages 41, 44) only mention Concentrated; the Scorpion sentence is unfinished.";Include both Concentrated and Diffuse from the table.;Print Concentrated only.;Truncated card prose.;A
15A;French grammar;Prescience (page 6): pour sur. Cri de la Banshee (page 6): Le cri … agissent. Fire Knights (page 39): le Le Fire Storm. Wraithlord (page 32): Seigneurs Fantôme. Wave Serpent card (page 36): Wave serpent.;Fix the grammar in English.;Reproduce the French errors.;;A
