ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Pentasaur flamer Turret;"Pentasaur Tourelle is written two ways for the Flamer. Summary table (page 7): Tourelle is on Laser Maelstrom, Lance Missile Maelstrom, and Lance Thermique; Lance-Flammes has only Réduit les Couverts (−3). Card prose (page 21): Toutes les armes des pentasaures ont les capacités Tourelle.";Follow table: Tourelle on the three main guns only, not on the Flamer.;Follow card prose: Tourelle on every Pentasaur weapon, including the Flamer.;C: Tourelle on the unit.;A
1A;Travois star-cannon name;"The star-cannon Travois is named two ways. Summary table (page 6): unit Travois - Canons Stellaires, weapon Batterie Stellaire. Card heading (page 16): Batterie Stellaire. Army list name (pages 9, 12): Détachement de Travois - Canons Stellaires; contents: 3 socles de Travois - Batterie Stellaire. Example armies (pages 13–14): Travois avec Batterie Stellaire. Same stats (75 cm / 2 / 4+ / −1, AA).";"Games Workshop: Star Cannon. Unit/detachment Travois – Star Cannons; weapon Star Cannon Battery; army-list contents use the unit name.";Call the unit Travois – Star Cannon Battery everywhere (match the card and contents line).;Bright Lance and Missile Launcher Travois names already match.;A — Star Cannon
2A;Travois shot rules;Travois AA, Artillerie, and Réduit les Couverts (−1) sit on the weapons in the summary table (page 6) and on the unit in the card prose (page 16). Tir en Mouvement and Ne peut pas être transporté are on the unit in both.;"AA on Batterie Stellaire; Artillery and Reduces Cover (−1) on Lance-Missiles.";Those abilities on the unit.;"Shot rules; put on the weapon.";A
3A;Salamander Reduces Cover;Salamandre Réduit les Couverts (−3) is on Souffle de Feu in the summary table (page 7) and on the unit on the card (page 19). Infiltration is on the unit in both.;Reduces Cover (−3) on Souffle de Feu (weapon).;Reduces Cover (−3) on the unit.;"Shot rule; put on the weapon.";A
4A;Pentasaur missile shot rules;"Pentasaure - Lance Missile Batterie, Artillerie, and Réduit les Couverts (−1) are on Lance Missile Maelstrom in the summary table (page 7) and on the variant (unit) in the card prose (page 21). Tourelle is on that gun in the table; see issue 1 for the Flamer.";Battery, Artillery, and Reduces Cover (−1) on Lance Missile Maelstrom (weapon).;Those abilities on the unit.;"Shot rules; put on the weapon.";A
5A;Exodite Warriors name;Exodite Warriors are named three ways. Summary table (page 6): Guerriers Exodite. Army list and examples (pages 9, 12–14): Guerriers Exodites. Card title (page 15): GUERRIERS. Stats match (10 cm / − / +1 / 6, Pistolet Shuriken et Epée).;Games Workshop name: Exodite Warriors.;Keep Guerriers only on the card title.;;A — Exodite Warriors
6A;Fusiliers singular;Fusiliers is singular in the summary table and plural elsewhere. Table (page 6): Fusilier. Card and army list (pages 9, 12, 15): Fusiliers. Stats match.;Fusiliers everywhere (match card and army list).;Fusilier everywhere (match table).;;A — Fusiliers
7A;Megadon spelling;Megadon is spelled two ways. Summary table, army list, and examples (pages 8, 12–14): Mégadon. Card title (page 24): MEGADON. Body on that card also uses Mégadons.;Games Workshop name: Megadon.;Keep MEGADON on the card title only.;;A — Megadon
8A;Knight army-list names;Knight units include Chevalier in the summary table and card headings (pages 7–8, 22–23): Chevalier Bright Stalker / Stallion, Chevalier Fire Gale / Reaper / Storm, Chevalier Towering Destroyer. Army list (page 12) drops Chevalier: Bright Stalkers, Bright Stallions, Fire Gales, Fire Reapers, Fire Storms, Towering Destroyers.;Games Workshop names without a Chevalier prefix: Bright Stalker, Bright Stallion, Fire Gale, Fire Reaper, Fire Storm, Towering Destroyer.;Keep Chevalier on the table and cards only.;;A — GW names
9A;Vyper Transport name;"Vyper Transport is named two ways. Table and card (pages 7, 19): Vyper de Transport. Army list (page 12): Détachement de Vypers, contents 6 socles de Vypers de Transport. Class Cavalry in the table; purchase slot Options — not a class clash.";Games Workshop: Vyper Transport everywhere, including the army list.;Keep Détachement de Vypers as the army-list name.;Class Cavalry (table and cavalry chapter).;A — Vyper Transport
