ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Angron keyword;Angron Attached Character is written two ways. Summary table (page 7): Personnage Lié, plus QG, Sauvegarde Psychique (4+), Réacteurs Dorsaux, Esquive (4+), Elite (3), Meneur, Charismatique (30 cm), Relance les dés d'Assaut, Inspiration du Primarque, Dégâts (+2) en Assaut, Duelliste. Unit card ability list (page 29): the same list except Personnage Lié is missing. Both give Morale —. Army list (page 23): unique formation of 1 Angron + 4 Rampagers for 325. Inspiration du Primarque text (page 5) talks about the linked detachment.;Follow table: Attached Character.;Follow card: no Attached Character (keep him as the unique Angron + Rampagers formation).;Inspiration du Primarque still assumes a linked detachment.;A
2;Tactical Support Fuseur;Tactical Support meltagun name is written two ways; the numbers match Multi-melta. Summary table (page 8): Multi-Fuseur (20 cm / 1 / 3+ / −2), same as Breachers, Proteus, and Predator Infernus. Unit card and army list (pages 21, 24, 31): Fuseur with those same stats. These are two different Games Workshop weapons.;Follow table: Multi-melta.;Follow card and army list: Meltagun.;Breachers stay Multi-melta in all three places.;A
3;Deathstorm Turret;Deathstorm Autonomous Defense and Turret sit on opposite variants. Summary table (page 12): Assault Cannon Deathstorm has Tourelle on the guns and Défense Autonomes on the unit; Missile Deathstorm has only Gabarit (12 cm) and is then removed. Special rules (page 6): missiles fire a 12 cm template and leave play; Assault Cannon Deathstorm stays. Card prose (page 45): all Deathstorms use Gabarit (12 cm), and the Missile modules have Défense Autonomes and Tourelle.;Follow table and special rules: Autonomous Defense and Turret on the Assault Cannon Deathstorm.;Follow card: Autonomous Defense and Turret on the Missile Deathstorm.;Assault Cannon profile stays 45 cm / 4 / 5+ / 0 in both.;A
4;Whirlwind Reduces Cover;Whirlwind Castellan Reduces Cover is written two ways. Summary table (page 13): Vengeance missiles have only Artillery (100 cm / 1 / 4+ / −1); Castellan missiles have Réduit les Couverts (−1) and Artillery (100 cm / 1 / 4+ / 0). Unit card (page 50): either Vengeance or Castellan has Réduit les Couverts (−1), and Artillery is listed on the unit with Rapid Intervention.;Follow table: Reduces Cover only on Castellan.;Follow card: Reduces Cover on both salvos.;Artillery stays on the weapons (shot rule). Rapid Intervention stays on the unit.;A
5;Dire Wolf carapace;Dire Wolf optional gun list disagrees with the titan weapons table. Summary table (page 15): choose 1 carapace among Canon Volcano / Laser à Neutron / Rayon de Conversion. Dire Wolf card (page 58): choose 1 carapace weapon, no list. Titan weapons (pages 17–18): Laser à Neutron is carapace for Dire Wolf; Canon Volcano is an arm weapon for Reaver/Warbringer/Warlord only (not Dire Wolf); Rayon de Conversion is an arm weapon for Reaver/Warbringer/Warlord/Dire Wolf.;Follow the unit table: those three as carapace options, including Volcano for Dire Wolf.;Follow the titan weapons table: Neutron Laser carapace only; Conversion Beam as an arm; no Volcano on Dire Wolf.;C: Neutron Laser and Conversion Beam as carapace (drop Volcano).;B
6;Dire Wolf hit-location;Dire Wolf save is 2+ / Fiche on the summary table and card (pages 15, 58), but the hit-location sheet (page 19) only has Warhound / Reaver / Warbringer / Warlord.;Use the Warhound sheet.;Keep Fiche in the profile and leave the missing sheet as a French 3.1.0 gap.;C: use the Titan sheet.;A
7;Canon Psi used-by;Psychic Cannon used-by cell is Psi. Titan weapons (page 17): Canon Psi 60 cm / 2 / 3+ / Psi, Attaque Psychique, Bras, 100. Footer is D = Warhound, R = Reaver/Warbringer, W = Warlord, DW = Dire Wolf. No Psi class.;Treat as Warlord (W) only.;Keep Psi as a fourth class.;C: omit the weapon. Custodian Head is the Warlord psychic option.;A
8;Warbringer free gun slot;Warbringer free Volcano / Quake Cannon slot differs. Unit card (page 59): buy 2 arm weapons and choose 1 carapace (Canon Volcano or Sismo-Canon), back-weapon cost already in the Titan. Summary table (page 16): choose Volcano or Sismo-Canon (free) and 2 paid arm weapons (option: 1 Head). Titan weapons (pages 17–18): both Canon Volcano and Sismo-Canon are Bras for Reaver/Warbringer/Warlord.;Follow the card: free Volcano or Quake as the carapace / back gun, plus 2 paid arms.;Follow the weapons table: those guns stay arm weapons (Warbringer would then have 3 arm slots).;;A
9;Warlord banners;Warlord optional banners count differs. Summary table (page 16): 2 Bannières and/or 1 Tête. Unit card (page 60): 1 Banner option and/or 1 Head. Reaver is 1 Banner in both. Titan weapons (page 18): Multi-Lasers de Carapace use the Banners slot.;Follow table: 2 Banners.;Follow card: 1 Banner.;;A
1A;Spartan Wounds;Spartan wounds abbreviation. Summary table (page 14): PV (2). Card (page 55): PdV (2). Rest of the super-heavies use PdV.;Wounds (PdV) everywhere.;Keep PV on the Spartan table row.;;A — Wounds
