ID,Topic,Description,Suggestion A,Suggestion B,Note
A,Shining Spears Morale,"Profile table: Morale 5. Cavalry card: Morale 6.",Table 5,Card 6,
B,Flyer FA,"Profile table: Crimson Hunter +6, Nightwing +4. Both cards print FA as —. Phoenix and Vampire cards do print FA and match the table.",Table (+6 / +4),Cards (—),
C,Crimson Hunter AP,"Profile table: Twin Bright Lance AP −2. Card: AP 2 (no minus).",Table −2,Card 2,2 is likely a dropped minus
D,Wave Serpent Morale,"Profile table: Morale 6. Card: Morale Lié, with Attached Transport.",Table 6,Card Lié,
E,Dark Reapers weapon,"Table and Exarch card: Lance-Missiles Faucheur. Rank-and-file card: Lance Missiles.",Reaper Launcher (table),Missile Launcher (card),
F,Baron Stallion weapon,"Table: Laser à Impulsion 20 cm, 3 dice, 5+, AP 0. Card: Rayonneur Laser with the same stats.",Table Pulse Laser,Card Scatter Laser,Pulse Laser elsewhere is 45 cm; these stats match Scatter Laser
G,Vampire second gun,"Table: Rayonneur Laser 20 cm, 3 dice, 5+, AP −1. Card: Catapulte Shuriken Lourde.",Table Scatter Laser,Card Heavy Shuriken Catapult,"War Walker Scatter Laser is AP 0, not −1"
H,Autarchs cost,"Phoenix Company: 4 Autarchs for 300. Special Formations: 4 Autarchs for 350.","300 in Phoenix, 350 in Special",Same cost in both,Same pattern as T'au Shield Drones
I,Farseer cost,"Ghost Company: +25. Extra Special Formations: +75.",Keep both,Same cost in both,
J,Warlock cost,"Rapid Intervention Company: +50. Extra Special Formations: +100.",Keep both,Same cost in both,
K,Void Spinner Web,"Table: Void Spinner Cannon has Toile. Card lists Reduces Cover (−3), Turret, Artillery — no Web.",Table (include Web),Card (omit Web),
L,Revenant missiles,"Table: Missile Launcher 100 cm, 3 dice, 5+, AP 0. Card prose: Template (7.5 cm) and Artillery. The card stat line has no template.",Table (no template),Card prose (template + Artillery),
M,Off-table Pulsar to-hit,"Profile table: Pulsar Barrage to-hit 3+. Artillery card: 2+. Both say 2D3 hits, AP −2.",Table 3+,Card 2+,
N,Wraithguard assault name,"Detachment name: Gardes Fantômes – Assaut. Contents line: 4 socles de Guerriers Fantômes. Support uses Gardes Fantômes in both.",Keep both names,One name everywhere,Card lore: assault Wraithguard are called Ghost Warriors
O,Scorpion army name,"Super-heavy support: Détachement de Tank Scorpion, contents 1 socle de Scorpion.",Army name Scorpion Tank,Just Scorpion,
P,Vampire list section,"Unit card sits in the Super-heavies chapter. Army list puts the Vampire under Options (175, no +).",Options (army list),Super-heavies,
Q,Ability on unit vs weapon,"Falcon: Turret on the weapon (table) vs on the unit (card). Firestorm: AA on the weapon (table) vs on the unit (card). Night Spinner: Web, Artillery, Reduces Cover (−1) on the weapon (table) vs on the unit (card).",Table (on the weapon),Card (on the unit),
R,Warp Hunter buildings,"Table: weapon has Endommage les Bâtiments (PA −3/2) and Psychic Attack. Card: unit has Détruit les Bâtiments (PA −3,2) and Psychic Attack.","Table (on weapon, Endommage, slash)","Card (on unit, Détruit, comma)",
S,Unicorn Antigrav,"Table: Antigrav on the unit; Vibro-Cannon (−2) on the weapon. Card: « Le Vibro-Canon a les capacités Antigrav et Vibro-Canon (−2). »",Table (Antigrav on unit),Card wording,
T,GW names and typos,"Official Games Workshop English names. Fix French typos (Reconnaissace, Combat Urbainp, Maitre/Maître Mime, Vois Spinner, Titans de Léger, Distortion/Distorsion, Guèpe/Guêpe, tyype, désactiver, Réacteur vs Réacteurs Dorsaux, Epée Ghost vs Epée Fantôme, Arlequin vs Arlequins).",GW English; fix typos,Leave as written,Holo-Field already decided for Exodites
