ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Who receives orders;Orders are given both to on-table detachments only and to off-table detachments that can arrive this turn. Phase summary (page 10): orders go to each detachment present on the table. Order rules (page 10): place an order for every detachment without Fall Back, including those off-table that can arrive this turn.;Follow the detailed order rules (include eligible off-table detachments).;Follow the phase summary (on-table only).;Print (Inc) on the phase-summary on-table line and on the off-table clause (page 10).;Both + (Inc) on p10 summary and p10 order rules
2;End Phase sequence;The End Phase steps are listed two ways. Phase summary (page 10): repairs → victory check → rally. End Phase section (page 20): end-of-turn effects (including repairs) → Capture Objectives → victory check → rally. The summary skips Capture Objectives.;Follow page 20 (include Capture Objectives).;Follow the shorter page 10 summary (no mid-phase capture).;TOC on page 3 already lists Capture under End Phase. Print (Inc) on the page 10 summary sequence and on the page 20 Capture step.;Both + (Inc) on p10 summary and p20 Capture
3;Formation vs detachment;Formation and detachment are defined as different terms (page 5) but later rules use formation where the rest of the book uses detachment. Consolidation (page 14): move to keep formation coherency. Impacted (page 21): a formation that loses half its bases or current Wounds. Broken (page 21): a broken formation gives its cost in Destruction Points. Everywhere else these rules use detachment.;Use detachment everywhere (coherency, Impacted, Broken).;Keep formation in those three places and treat the rules as formation-level.;Print (Inc) on consolidation formation coherency (page 14) and on Impacted/Broken formation (page 21).;Both + (Inc) on p14 coherency and p21 Impacted/Broken
4;Objectives secure / control / capture;"The same objective mechanic uses three verbs. Capture Objectives (page 20): to control an objective you need a base that can secure objectives; contested wording uses capture; subsection Secure Objectives then says all bases can control objectives.";Use one consistent verb set (e.g. control + secure as eligibility).;Keep all three verbs but define each clearly.;Print (Inc) on the control / secure / capture wording in Capture Objectives (page 20).;Both + (Inc) on p20 objective verbs
5;River who may cross;"River crossing rules contradict themselves. Text (page 24): rivers are Difficult and Dangerous (5+/no) for infantry, then except Titans and Praetorians, no other base may cross them (which also bans infantry). Table (page 25): infantry = Difficult+Dangerous; Walkers through Knights impassable; Titans/Praetorians Normal.";Follow the table (infantry may cross).;Rewrite the text so infantry cannot cross, or so only non-infantry besides Titans/Praetorians are banned.;Print (Inc) on the page 24 'no other base may cross' sentence and on the page 25 River infantry cell.;Both + (Inc) on p24 river text and p25 table
6;Marsh Dangerous classes;"Marsh Dangerous (6+/no) applies to different classes. Text (page 24): Difficult for all classes except Titans/Praetorians; also Dangerous for Cavalry and Vehicles. Table (page 25): Infantry Difficult; Walkers and Cavalry Difficult+Dangerous; Vehicles and Knights Difficult; Titans Normal. So Vehicles are Dangerous in the text, not the table; Walkers are Dangerous in the table, not the text.";Follow the table: Dangerous for Walkers and Cavalry only.;"Follow the text: Dangerous for Cavalry and Vehicles; Walkers only Difficult.";Print (Inc) on the page 24 Marsh Dangerous sentence and on the page 25 Marsh Dangerous cells.;Both + (Inc) on p24 marsh text and p25 table
7;Barricade prose vs table;"Barricade rules disagree between text and table. Text (page 24): class 1 in contact gets cover 5+ and +1 AF; classes 1–3 lose 5 cm to cross; no LoS block, armour, or Wounds. Table (page 25): Occulting / Class 1, armour 7+ / 1 Wound per 10 cm, cover 5+, +1 AF. Crossing cost in the table matches classes 1–3.";"Follow text only (movement cost + cover/AF; not destructible / not occulting).";Follow table (destructible occulting terrain) and expand the text.;Print (Inc) on the page 24 Barricade paragraph and on the page 25 Barricade armour / Wounds / Occulting cells.;Both + (Inc) on p24 barricade text and p25 table
8;Forest Difficult terrain;"Forests are both always Difficult and only Difficult for some classes. Difficult Terrain examples (page 23) list forests as Difficult. Forest paragraph (page 24) never says Difficult. Table (page 25): Infantry/Walkers Normal; Cavalry/Vehicles/Knights Difficult; Titans Normal.";"Follow table (Difficult only for listed classes); soften the page 23 example.";Make forests Difficult for all classes in the table.;Print (Inc) on the page 23 forests-as-Difficult example and on the page 25 Forest movement cells.;Both + (Inc) on p23 Difficult example and p25 table
9;Dragon's Teeth stats;"Dragon's Teeth disagree on destructibility and who is slowed. Text (page 24): they block vehicle movement; no LoS effect; no save/Wounds/cover. Table (page 25): Vehicles Impossible; Knights Difficult; others Normal; armour 5+ / 2 Wounds. Bulldozer (page 27) ignores movement penalties from Dragon's Teeth.";"Follow text (vehicle obstacle only; non-destructible); drop 5+/2 Wounds and Knight Difficult from the table.";"Follow table (5+/2 Wounds; Knights Difficult) and add them to the text.";Print (Inc) on the page 24 Dragon's Teeth paragraph and on the page 25 5+/2 Wounds and Knights Difficult cells.;Both + (Inc) on p24 teeth text and p25 table
10;Artillery Emplacement;"Artillery Emplacement disagrees in three places. Text (page 24): cover 3+ and +2 AF for the structure; infantry, Walkers, and Cavalry inside get only the 3+ cover save (no AF); capacity 3 Vehicles or 6 Infantry/Walkers/Cavalry. Table (page 25): cover 4+, +2 AF; Infantry/Walkers/Cavalry may enter otherwise impassable; Vehicles and Knights impassable.";"Follow text: cover 3+; garrisoned Infantry/Walkers/Cavalry get cover only (no AF); Vehicles may enter (capacity 3).";"Follow table: cover 4+; +2 AF; Vehicles cannot enter.";C: mix (say which of cover / AF / Vehicles). Print (Inc) on cover, garrison AF, and Vehicles in the page 24 text and the page 25 table.;Both + (Inc) on p24 emplacement text and p25 table
11;Firing Position unused X;Firing Position is written as Poste de Tir (X) but X is never used. Ability (page 30) never says what X means (unlike Transport (X), DR (X+), etc.).;Define what X means.;Drop (X) if there is no parameter.;Print (Inc) on Firing Position (X) in the ability name (page 30).;Both + (Inc) on p30 Firing Position (X)
12;Antigrav vs Jump Packs ZOC;Antigrav and Jump Packs ignore enemy ZOC under different rules. Antigrav (page 26): ignore ZOC except Antigrav or Jump Packs of the same or higher class (no Floater). Jump Packs (page 31): ignore ZOC except Floater, Antigrav, or Jump Packs (any class).;Align Jump Packs with Antigrav.;Align Antigrav with Jump Packs.;Print (Inc) on the Antigrav ZOC paragraph (page 26) and the Jump Packs ZOC paragraph (page 31).;Both + (Inc) on p26 Antigrav and p31 Jump Packs
13;Assault Engagement ZOC exception;Page 12 says there is an exception for Assault Engagement when entering enemy ZOC, but this book never defines that named exception (when you may enter ZOC, facing, lose shooting, etc.). Charge orders and later assault text assume engagement exists without spelling the exception out.;Add a short definition of the ZOC/engagement exception in Movement.;Remove or rewrite the dangling Assault Engagement exception so ZOC rules stand alone.;Print (Inc) on the Assault Engagement ZOC exception phrase (page 12).;Both + (Inc) on p12 Engagement exception
14;Attached Character gained abilities;Attached Character (page 30) says the character gains the joined detachment's movement special abilities, then lists Infiltration, Free Deployment, Jump Packs, Antigrav, Hard to Hit, and also Camouflage or Advanced Camouflage. Hard to Hit and Camouflage are not movement abilities.;Transfer the whole listed set (including Hard to Hit and Camouflage).;"Transfer only real movement abilities; drop Hard to Hit and Camouflage from that sentence.";Print (Inc) on Hard to Hit and Camouflage in the Attached Character list (page 30).;Both + (Inc) on p30 Hard to Hit and Camouflage
1A;Norn Queen name;The same example unit is written as Reine Norme and Reine Norne. Line of Sight example (page 15): Reine Norme (class 4), then Reine Norne. Assault example (page 19): Reine Norne.;Norn Queen (GW) everywhere.;Keep Reine Norme on the first LoS line only.;;A — Norn Queen
2A;Jump Packs spelling;Jump Packs is written as both Réacteurs Dorsaux and Réacteur Dorsaux. Ability header (page 31): Réacteurs Dorsaux. Attached Character (page 30) and Flyer transport exit (page 33): Réacteur Dorsaux.;Use plural Réacteurs Dorsaux / Jump Packs everywhere.;Rename the ability to singular.;;A — Jump Packs
3A;Daemon Hunter spelling;Daemon Hunter is written as both singular and plural. Header (page 27): Chasseur de Démon. Body (page 27): Chasseur de Démons / Chasseur de démons.;Daemon Hunters / Chasseur de Démons everywhere.;Keep singular on the header only.;;A — Daemon Hunters
4A;Energy Shields spelling;Energy Shields adjective is singular and plural. Header (page 27): Boucliers Energétique (X). Body / Ignore Shields / Lance: Boucliers Energétiques.;Boucliers Energétiques (X) / Energy Shields (X) everywhere.;Keep singular adjective on the header only.;;A — Energy Shields
5A;Organic Metal singular/plural;Organic Metal is written singular and plural. Graviton (page 29): Métal Organique. Ignore Shields: Métaux Organiques.;Métal Organique / Organic Metal everywhere.;Use Métaux Organiques everywhere.;;A — Organic Metal
6A;Occulting spelling;LoS terrain keyword is written Occultant and Ocultant. Prose (pages 15, 23–24): Occultant. Terrain table (page 25): Ocultant on Forest, structures, Bunker, Emplacement, Bastion (Barricade prints Occultant).;Correct the table to Occultant.;(No.);;A — Occultant
7A;Autonomous Defence name;Ability name has mismatched number: Défense Autonomes. Bastion (page 24) and ability (page 27) both use Défense Autonomes.;Défense Autonome / Autonomous Defence.;Défenses Autonomes.;;A — Autonomous Defence
8A;Dragon's Teeth spelling;Dragon's Teeth is spelled three ways. Text heading (page 24): Dents de Dragons, then dents de dradons. Table (page 25): Dents de dragon. Bulldozer (page 27): dents de dragons.;"Dents de Dragons / Dragon's Teeth everywhere; fix dradons.";Keep Dents de dragon on the table only.;Stats clash is issue 9.;A — Dragon's Teeth
9A;Barbed Hierodule name;The same example walker is spelled two ways. Pushing example (page 13): Hierodule Acéré. Disengage example (page 13): Hiérodule Acéré.;Barbed Hierodule (GW) everywhere.;Keep the mixed French spelling.;;A — Barbed Hierodule
10A;Subterranean Fire altitude typo;Subterranean Fire uses attitude instead of altitude. Text (page 32): does not work on Antigrav or bases at attitude. Everywhere else (page 6 Altitude, Antigrav, Flyer) the height state is altitude.;Replace attitude with altitude.;(No alternate reading.);;A — altitude
11A;French grammar;"Grammar errors in the French. Examples: page 6 Spaces Marines Tactique / portée est de; page 12 jusqu'a, a effectuer, Seul les socles, gènent, classe supérieur; page 13 détahement; page 19 prise de posion, toutes ses socles; page 21 points de vies, detachemnent, détruit; page 24 concue, definir, monté, alors que de, sont centre, champs de mines; page 27 ne peut par tirer, ordre modifier; page 28 déploiment, s'éffectue, résolutaion, celà; page 29 s'arrette, recontre, décors; page 32 Misson, troupes transportée; page 33 scoles, oppotrunité, ne peux.";Fix the grammar in English.;Reproduce the French errors.;;A
