ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Hastarii Fusiliers dice;"Hastarii Fusiliers Neutron Laser dice differ. Summary table (page 7): 2 dice (45 cm / 2 / 5+ / −2). Unit card (page 26): 1 die (45 cm / 1 / 5+ / −2). Army list (page 20): 5 bases for 250 (Exterminators are 5 bases for 150).";Follow table: 2 dice.;Follow card: 1 die.;;A
2;Sagittarii Mortar range;"Sagittarii Mortar range differs. Summary table (page 8): 100 cm (1 / 3+ / −1, Artillery). Unit card (page 30): 75 cm (1 / 3+ / −1).";Follow table: 100 cm.;Follow card: 75 cm.;;A
3;Vorax rotary cannon range;"Vorax Rotor Cannon range differs. Summary table (page 9): 30 cm (3 / 5+ / −1). Unit card (page 38): 20 cm (3 / 5+ / −1).";Follow table: 30 cm.;Follow card: 20 cm.;;A
4;Fusilave bomb range;"Archaeopter Fusilave tectomagnetic bombs range column differs. Summary table (page 9): Bombe. Unit card (page 39): 0 cm. Stats otherwise match (1 / 4+ / −2, Bombing (1)).";Follow table: Bomb.;Follow card: 0 cm.;Tyranids used Bomb for that kind of attack.;A
5;Warbringer Cerberus range;"Warbringer hull Cerberus Cannon range differs. Summary table (page 13): 60 cm (4 / 4+ / −1, AA). Unit card (page 48): 75 cm (4 / 4+ / −1, AA). The optional carapace Anti-Aircraft Cerberus in the titan weapons table (page 14) is 75 cm for Reaver/Warbringer/Warlord.";Follow table: 60 cm on the hull gun.;Follow card: 75 cm on the hull gun.;C: 75 cm everywhere (match the carapace weapon). Print INC on this stat.;A — INC
6;Warlord banners;"Warlord optional banners count differs. Summary table (page 13): 2 Banners and/or 1 Head. Unit card (page 49): 1 Banner option and 1 Head. Reaver is 1 Banner in both. Titan weapons (pages 14–15): Banners and Carapace Multi-Lasers use the Banners slot.";Follow table: 2 Banners.;Follow card: 1 Banner.;Print INC on this stat.;A — INC
7;Onagre Icarus Turret;"Onager Dunecrawler Icarus Turret is written two ways. Card prose (page 42): all three Onager versions have their weapons on Turret. Summary table (page 10): Phosphor and Graviton guns have Turret; Icarus Array has only AA.";Follow table: no Turret on the Icarus Array.;Follow card: Turret on the Icarus Array as well.;AA stays on the Icarus Array in both. Print INC on this stat.;A — INC
8;Landing craft missile Turret;"Landing Craft missiles Turret is written two ways. Card (page 46): all weapons are on Turret; missiles also have AA. Summary table (page 12): Howitzers and Heavy Lascannons have Turret; missiles have only AA.";Follow table: no Turret on the missiles.;Follow card: Turret on the missiles as well.;AA stays on the missiles in both. Print INC on this stat.;A — INC
9;Landing craft hit-location;"Landing Craft save is 2+ / Fiche on the summary table and card (pages 12, 46), but the hit-location sheet (page 16) only has Warhound/Reaver/Warbringer/Warlord, Fouisseuse, and Ordinatus Majoris.";Use the Ordinatus Majoris sheet.;Keep Fiche in the profile and leave the missing sheet as a French 3.1.0 gap.;C: use the Titan sheet.;B
10;Secutarii Hoplites Dodge;"Secutarii Hoplites Dodge (5+) sits in two places. Summary table (page 8): Esquive (5+) on the unit. Card prose (page 30): L'arlance … a les capacités Réduit les Couverts (−3) et Esquive (5+). Rulebook Dodge is a base ability.";Follow table: Dodge (5+) on the unit.;Follow card: Dodge (5+) on the Arc Lance.;Reduces Cover (−3) is on the Arc Lance in both.;A
1A;Skorpius missing from table;Skorpius (transport) is on the unit card and army list (pages 21, 43): 25 cm / 4+ / +0 / Attached, Heavy Stubber 30 cm / 2 / 5+ / 0, Transport (2), Attached Transport. It is not in the summary tables (pages 10–11 go from Onager Dunecrawler Scout to Termite). Army-list Options: 2/3/5 bases for +50/75/125.;Include the card and army-list profile in the English table.;Leave it out of the summary table.;Card and army list agree.;A — include from card
2A;Fouisseuse fire twice;Fouisseuse Multi-Launchers Tire deux fois par tour is on the summary table (page 12) and missing from the card (page 45). Card does list Turret and Artillery.;Include fires twice per turn from the table.;Omit it (match the card).;Truncated card prose.;A
3A;Golgotha Artillery;Ordinatus Golgotha Hellfire Missiles are Artillery on the card (page 46) and not on the summary table (page 12). Template (12 cm) and Limited Ammunition (6) / 6 per game / max 2 per turn agree.;Artillery on the Hellfire Missiles (weapon).;No Artillery.;Shot rule; put on the weapon.;A
