ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Shas'o keyword;Shas'o keyword is written two ways. Summary table (page 8): Personnage Lié (Attached Character), plus Elite (2), QG, Génie Tactique. Unit card ability list (page 29): Personnage (Character), plus Elite (2), QG, Génie Tactique — not Personnage Lié. Both give Morale Lié and Save 4+f.;Follow table: Attached Character.;Follow card: Character (keep Morale Attached).;Shas'el is Attached Character in both table and card.;A
2;Interceptor Drone morale;Interceptor Drone morale is written as both Attached and none. Summary table (page 8): Moral —. Unit card (page 32): Moral Lié, and the abilities include Personnage Lié.;Follow table: no morale.;Follow card: Attached.;Army list still attaches them only to Flyers.;B
3;AX1-0 Tiger Shark gun;AX1-0 Tiger Shark main gun is written two ways; the numbers match Light Rail Cannons. Summary table (page 10) and card profile (page 37): Canons à Rail Léger (45 cm / 2 / 4+ / −3, Dégâts (+1)). Card prose (page 37): Ses Canons à Ions ont Dégât (+1). These are two different Games Workshop weapons.;Follow table and card stats: Light Rail Cannons.;Follow card prose: Ion Cannons.;Burst Cannons with Turret agree in all three places.;A
4;Heavy Gun Drones 4-base;Heavy Gun Drones card describes two support sizes; the army list only has one. Card (page 22): two bases become Attached Characters, or four bases form a normal detachment. Army list (page 17): only 2 bases attached for +50. MV1 Attack Drones have both the 4-base detachment (75) and the 2-base attached option (+25).;Follow card: also allow a 4-base Heavy Gun Drone detachment.;Follow army list: attached 2-base formation only.;;B
5;Off-table submunition Seeker;Off-table submunition Seeker Missiles is on the card and not on the summary table. Summary table (page 12): tracer salvo has Missiles à Guidage Laser and Dégâts (+1); submunition salvo has Gabarit (12 cm), Réduit les Couverts (−1), Endommage les Bâtiments (PA −4/2) — no Seeker. Card (page 41): submunitions have Seeker Missiles as well as those other abilities.;Follow table: Seeker only on the tracer salvo.;Follow card: Seeker on both salvos.;Keep both: table without Seeker on the submunition, card with Seeker. Note at both places that this is an inconsistency in French 3.1.0.;Both + note (French 3.1.0 inconsistency)
6;Ta'unar arm weapons;Ta'unar weapon count is written two ways on the same card. Prose (page 40): équipé de deux Armes de Bras. Summary table (page 12) and card profile (page 40): Choisir 1 Arme principale et 2 Armes secondaires, plus the hull Smart Missiles and Twin Burst Cannon. Weapons list is on page 13.;Follow tables: 1 primary and 2 secondary (plus hull guns).;Follow prose: 2 arm weapons.;;A
1A;Fusion Blaster name;Crisis lore (page 27) uses Éclateur à Fusion. Table and Crisis Mk III / Y'vahra / Ghostkeel / Shas'o profiles (pages 7–8, 10, 27, 29, 36): Blasters à Fusion.;Fusion Blaster (GW).;Keep Éclateur on the Crisis lore line.;;A — Fusion Blaster
2A;Vespid weapon name;Vespid lore (page 23): Éclateurs à Neutrons. Table and card profile (pages 6, 23): Blasters à Neutron.;Neutron Blaster (GW).;Keep Éclateurs in lore only.;;A — Neutron Blaster
3A;Heavy Gun Drones heading;Heading (page 22): Drones à Arme Lourdes. Table, army list, and body (pages 6, 17, 22): Drones à Arme Lourde.;Heavy Gun Drones (GW).;Keep the extra S on the heading.;;A — Heavy Gun Drones
4A;MV1 Attack Drones name;Heading (page 22): Drones MV1 d'Attaques. Table, army list, and body (pages 6, 17–18, 22): Drones MV1 d'Attaque.;MV1 Attack Drones (GW).;Keep d'Attaques on the heading.;;A — MV1 Attack Drones
5A;Heavy drone weapon number;Heavy Gun Drone gun name. Table (page 6): Missiles Intelligents with that ability. Card profile (page 22): Missile Intelligent.;Smart Missiles (GW).;Keep the singular on the card.;;A — Smart Missiles
6A;Sky Ray Seeker;Sky Ray Missiles à Guidage Laser is on the Seeker Missiles in the summary table (page 9) and on the unit on the card (page 34). AA is on the weapon in both.;Seeker Missiles (weapon); AA on the weapon.;Seeker on the unit.;Shot rule; put on the weapon.;A
7A;Stingray Seeker;Stingray Missiles à Guidage Laser is on the submunition missile in the summary table (page 9) and on the unit on the card (page 34). Template / Reduces Cover / Battery stay on that missile in both.;Seeker Missiles on the submunition weapon.;Seeker on the unit.;Shot rule; put on the weapon.;A
8A;Sentry Turret Turret;Drone Sentry Turret Tourelle is on the Burst Cannons in the summary table (page 8) and on the unit on the card (page 33).;Turret on the Burst Cannons.;Turret on the unit.;Shot rule; put on the weapon.;A
9A;Stormsurge main gun;Stormsurge main gun name. Table (page 10): Canon C. à Impulsions. Card (page 35): Canon Catalyseur à Imp. / Canon Catalyseur.;Pulse Blastcannon (GW).;Keep Catalyseur only.;;A — Pulse Blastcannon
10A;Stormsurge Limited Ammunition;Limited Ammunition spelling. Table (page 10): Munition Limitée (4). Card (page 35): Munitions Limitée (4).;Limited Ammunition (4).;Keep the card plural.;;A
11A;Hazard Fire on the Move;Hazard Mk I Fire on the Move abbreviation. Table (page 7): Tir en Mvt. Hazard Mk II, other battlesuits, and the Hazard card (pages 7, 28): Tir en Mouvement.;Fire on the Move everywhere.;Keep Tir en Mvt on Mk I only.;;A
12A;Stingray submunition typo;Stingray submunition is misspelled in the table. Table (page 9): Missiles à Sous-Munitiion. Card and rest of the line (pages 9, 34): Sous-Munitions.;Submunition Missiles.;Keep the table typo.;;A
13A;Ta'unar Smart Missiles;Ta'unar hull gun spelling. Table (page 12): Missiles Intelligent. Card and ability (pages 5, 12, 40): Missiles Intelligents.;Smart Missiles (GW).;Keep the table singular.;;A — Smart Missiles
14A;Off-table salvo names;Off-table second salvo name differs. Table (page 12): Salve de Missiles Traceurs à Sous-Munitions. Card (page 41): Salve de Missiles Gravitationnels à sous-munitions. First salvo is Traceurs Gravitationnels in both.;One English name: Gravitic Tracer Submunition Salvo (or equivalent GW-style).;Print the two French forms as two names.;;A
15A;Hammerhead Smart Missiles variants;Hammerhead card prose lists the wrong marks for Smart Missiles. Card (page 33): missiles des variantes MK II, IV et VI. Summary table and card profiles (pages 9, 33): Mk II, III, and VI have Smart Missiles; Mk IV is Heavy Burst Cannons and Burst Cannons.;Follow table and profiles: Mk II, III, and VI.;Follow that sentence: Mk II, IV, and VI.;Prose typo.;A
16A;Vespid army-list typo;Vespid name in the army list contents. Support (page 17): Frelons Vespides in the name, Frelons Vespids in the contents. Table and card (pages 6, 23): Frelons Vespides.;Vespid Stingwings (GW).;Keep Vespids in that contents cell.;;A — Vespid Stingwings
17A;Sniper drone rifle;MV71 Sniper rifle name. Table and card (pages 6, 22): Fusil Impulsion. Other pulse rifles in the book: Fusil à Impulsion.;Pulse Rifle (GW).;Keep Fusil Impulsion only on the drone.;;A — Pulse Rifle
18A;Y'vahra flamer template;Y'vahra flamer template name. Table (page 10): Gabarit (Flammes). Card (page 36): Gabarit (Flamme).;Flamer template (GW).;Keep one French form.;;A
19A;Mk spacing;Battlesuit marks are written Mk I / MkI / MKI. Tables use Mk I / MkI; army list uses MKI / MKII / MKIII.;Mk I, Mk II, Mk III (and Mk IV–VI for Hammerheads).;Keep each source’s spacing.;;A
20A;Example armies;Example armies (pages 19–20) do not match the real army list (for example mixed company/support lines). Summary tables, cards, and the real list (pages 14–18) are the sources.;Follow the real army list and profiles.;Follow the examples.;;A — real list
21A;French grammar;French grammar mistakes, including a la / à la, ne peux pas, Un Stormsurge peux, L'Orca à la capacité, qu'a des volants, T'aus, and similar.;Fix the grammar in English.;Reproduce the French errors.;;A
