ID;Topic;Description;Suggestion A;Suggestion B;Note;Chosen
1;Sanctus Hybride Callidus;Assassins Genestealer (p.5): Assassin Sanctus Hybride resolves the assault with the Callidus (FA +5). The formation and ability are Genestealer Assassins, not a Callidus.;Genestealer Assassin (same FA +5);Keep Callidus as printed;Still present from v3.0.0 L.;
2;Télépathie d'Essaim Magus;Psyker Hybride power Télépathie d'Essaim (p.6): the allied model need not be in LoS of the Magus. The power belongs to the Psyker Hybride, not the Magus.;Psyker Hybride (fix the named model);Keep Magus as printed;Still present from v3.0.0 M. LoS exemption itself matches the old choice.;
3;Convent Genestealer line name;Convent (p.12): fourth mandatory line is named Détachement de Psyker Hybride but contents are 5 Genestealer bases for 200. The third line is already a real Psyker Hybride detachment (4 Néophytes + 1 Psyker Hybride, 150).;Keep the name Détachement de Psyker Hybride (contents stay Genestealers 200);Rename to Détachement de Genestealers;Still present from v3.0.0 K.;
4;Options Covent;Army list uses Convent for the mandatory formation (p.12) but Options Covent for the Convent-only options (p.12 and p.14).;Convent (fix Covent);Keep Covent as printed;Still present from v3.0.0 Q.;
5;Scorpion Moral;Profile table (p.8): Moral —. Scorpion card (p.23): Moral 8.;Moral 8 (card);Moral — (table);"Table also puts AA on the weapon; card puts AA on the unit with Robot.";
6;Exterminator gun name;"Profile table (p.10): Autocanons Lourd 45 cm 2 4+ −1 Tourelle. Exterminator card (p.29): Autocanons Jumelés with the same stats; prose also says Autocanons Jumelés.";Autocanons Jumelés (card);Autocanons Lourd (table);;
7;Magus Force Weapon dice;Profile table (p.7): Arme de Force has Dés 1 (Portée / Touche / PA blank). Magus card (p.20): Arme de Force all blank including Nb de dés. Other melee profiles (Griffes, Sabre, Masse, Bâton, Injecteur) are blank on both.;All blank (card);Dés 1 (table);;
8;Scout Sentinel Réduit;"Profile table (p.8): Réduit les Couverts (−3) on the Lance Flammes weapon. Scout Sentinel card (p.25): Réduit les Couverts (−3) on the unit with Infiltration and Esclave (Chasse); card weapon row has no weapon ability.";On the unit (card);On the weapon (table);Flamer range is 20 cm on both (old v3.0.0 F no longer conflicts).;
9;Special Formations headers;Optional slots (p.12–13) distinguish Formation Spéciale and Formation Spéciale Supplémentaire, but both special-formation tables on p.13 are headed Formations Spéciales. Flat-cost lines (Assassin 75, Baneblade 275, Shadowsword 275) vs +cost characters (Acolyte Porte-Icône +25, Biophagus +50, Genestealer Alpha +50) look like Special vs Extra Special.;Label +cost block Formations Spéciales Supplémentaires;Keep both headers as Formations Spéciales;;
10;French terms and typos;"Same term or number written two ways: Psycker Hybride (table p.8) vs Psyker Hybride; Assasins Genestealer (table p.7) vs Assassins Genestealer; Néophites / NEOPHITE vs Néophytes; Pistolet Boltrer (Acolyte Porte-Icône card) vs Pistolet Bolter; Compagnie d'Intervetion Rapide; Multifuseur / Multi-Fuseur; Lanceur Multiple / Lanceur Multiples; Hors-Champ / Hors-Champs; Réduit / Réduits les Couverts (Baneblade table); Pistolet à Aiguille / Pistolet Aiguille; Fortifications Avancée / Fortification Avancée; PPour; des ordres des ordres; largé de l'obite; Génovore / Genestealer / Génestealer in lore.";"Official Games Workshop English names; fix the typos";Keep each French spelling as printed;"Resolved v3.0.0 A–J and H–I no longer conflict inside this 3.1.0 book (Aberrant Save 5+; Cultistes Pistolet Laser; Hybride Save —; Patriarche Charismatique 40 cm and Personnage Lié; Scout Flamer 20 cm; Thudd Obusier Quadritube; Vulture Autocanon; Shadowsword Canon Volcano 90 cm; Barrage Psychique PA Psi).";
