ID,Topic,Description,Suggestion A,Suggestion B,Note,Chosen
A,Price Cryptek,"Support Company: 0–1 Cryptek for +50. Extra Special Formations: 1 Cryptek for +100.","+50 in Support Company, +100 in Extra Special",Same cost in both,Same pattern as Biel-Tan Warlock,A
B,Canoptek Reanimator size,"Support Company: 4 bases for 125. Walkers support: 3 bases for 125.",Keep both (4 in the company, 3 in Support),Same size in both,Same points; the company pack is cheaper per base,A
C,Necron Lord Regeneration,"Profile table: Elite (1), HQ, Leader, Inorganic, Attached Character, Resurrection Orb. Card adds Regeneration (5+).",Include Regeneration (5+) (card),Omit it (table),Regeneration is a rulebook ability; print the name only if kept,A
D,Doom Scythe Tesla AP,"Profile table: Twin Tesla Destructors AP −1. Card: AP −2. Night Scythe and Night Shroud Twin Tesla are −1 in both sources.",Table −1,Card −2,−2 is likely a dropped consistency with the other flyers,B
E,Tomb Sentinel range,"Profile table: Exile Cannon 20 cm. Card: 25 cm.",25 cm (card),20 cm (table),,A
F,War Barge DR,"Profile table: DR (5+) only. Card lists DR (5+) and also DR (12).",Table (DR 5+ only),Card (keep both),DR (12) looks like a leftover number,A
G,Abattoir assault damage,"Profile table: the unit has Damage (+1) in assault, and each Harvester in assault mode also grants Damage (+1) in assault. Card: only the Harvester assault mode.",Table (on the unit and on Harvesters),Card (Harvesters only),,B
H,Nightbringer Gaze,"Psychic powers and card: 1 C’tan shard power per turn plus Deadly Gas. Profile table: Uses 1 C’tan power per turn — no Deadly Gas. Void Dragon lists Voltaic Storm on the table the same way the card adds it.",Include Deadly Gas (card + psychic page),Table only (1 C’tan power),,A
I,Cryptek weapons,"Table note: choose one weapon per turn (Eldritch Lance or Staff of Light). Card: “Il peut utiliser son Creuset Sismique d’une seule façon par tour” and the same two weapons. Creuset Sismique is not defined anywhere.",Table (choose one weapon; drop Creuset Sismique),Keep the Creuset Sismique wording (card),,A
J,Aeonic Orb Solar Burner,"Card: Solar Burner has Reduces Cover (−3) and Turret. Table: Reduces Cover (−3) only.",Card (include Turret),Table (omit Turret),,A
K,Doomsday ability,"Table: Canon Doomsday on the unit. Card: Inorganique and Antigrav on the unit; Canon Doomsday on the weapon.",Table (on the unit),Card (on the weapon),,B
L,Aeonic Orb chapter,"Profile table: Light Praetorians. Card sits on the Titans page (p.39), above the Titans heading, with the Tomb Guardian. TOC: Titans p.39. Army list: Special Formations with the War Barge and Abattoir.",Keep the French layout (Titans page; class Light Praetorians),Move it under Praetorians,Same choice as T’au Fireblade: French chapter vs table class,B
M,Reactor Holo-Field,"Tomb Guardian / War Barge / Aeonic Orb hit-location Reactor: “Holo-Champ désactivés”. No Necron unit has Holo-Field (Eldar leftover).",Keep as written,Drop the Holo-Field line,Keep the extra-damage part of that reactor row,B
N,Aeonic Orb buildings,"Table: Endommage les bâtiments (−5/3) on Light and Powerful Solar Flare. Card: Endomage les Bâtiments (PA −5, 3).","Table (slash, Endommage)","Card (comma, Endomage)",Same slash-vs-comma as Biel-Tan Warp Hunter,A
O,Tesseract Ark abilities,"Card first sentence is copy-pasted from the Doomsday Ark (“L’Arche du Jugement dernier a les capacités Inorganique et Antigrav”). The next sentence and the stat line are the Tesseract Singularity Chamber.",Treat as Tesseract (Inorganic, Antigrav; ignore the Doomsday name),Leave the Doomsday name on the Tesseract card,Portrait on that card is also the Doomsday Ark photo,B
P,Targeting Relay spelling,"Special-ability title: Relais de Ciblage. Stalker table: Relai de Ciblage. Stalker card: Relais de Ciblage.",Relais (title + card),Relai (table),English name is still Targeting Relay,B
Q,Skorpekh names,"Company: Compagnie de Skorpek / Seigneur Scorpek / Destroyers Skorpek. Table and cards: Skorpekh. Support list: Destroyers Skorpekh.",Skorpekh everywhere,Keep each French spelling,C: Official GW Skorpekh,C
R,Portal / Scarab numbers,"Portal table: Abattoir “1 détachements par tour”. Scarab heading Scarabés vs Scarabées vs pion/jeton. Generator: jeton Scarabée. Army list: 3 Pions de Scarabé.",Fix grammar; one token name (Scarab token),Leave as written,Assault vs Repair uses of the token are the same in all sources,A
S,Douleur du Monde section,"World Pain is a psychic power but sits under Special Abilities. Cryptek and C’tan powers sit under Psychic Powers. Nightbringer Deadly Gas is under Psychic Powers.",Keep the French layout,Move World Pain under Psychic Powers,Same kind of choice as T’au Ethereal powers,B
T,GW names and typos,"Official Games Workshop English names. Fix French typos (Détahements, Cyrptek, Anihileur, Incendiare, Distruption/Distrupion, Dimensionel/Dimentionel/Dimenssionnel, Abbatoir/Abatoir, Résurection, Triachs, Ophydien, cours, Holo-Champ, Contôle, Moissoné, Bordéé, NIGHTS SHROUDS, 3 socles de de Tomb Golems, Réacteur vs Réacteurs Dorsaux, Necron/Nécron, Eonique/Aeonique).",GW English; fix typos,Leave as written,"Flayed Ones, Deathmarks, Lychguard, Canoptek Spyder/Wraith/Doomstalker/Reanimator, Ghost Ark, Doomsday Ark, Doom Scythe, Night Scythe, Tesseract Vault, Transcendent C’tan",A
